failedAttempts,newIp,newDevice,unusualLoginTime,riskScore,riskLevel,success
0,0,0,1,1,MEDIUM,1
0,0,1,0,2,MEDIUM,1
4,0,0,0,4,LOW,1
5,0,0,0,4,MEDIUM,1
3,0,0,0,4,LOW,1
1,0,0,0,2,LOW,1
4,1,1,1,9,HIGH,1
3,0,0,0,4,MEDIUM,1
3,0,0,0,4,LOW,1
4,1,0,0,6,MEDIUM,1
2,0,0,0,2,MEDIUM,1
6,0,0,0,4,HIGH,1
3,0,1,0,6,MEDIUM,1
0,0,0,0,0,LOW,1
6,0,1,1,7,HIGH,1
3,0,0,0,4,LOW,1
6,0,0,0,4,MEDIUM,1
6,0,0,0,4,HIGH,1
0,0,0,0,0,LOW,1
2,0,1,0,4,MEDIUM,1
1,1,0,0,4,MEDIUM,1
0,0,0,0,0,LOW,1
0,0,1,1,3,MEDIUM,1
6,0,0,0,4,HIGH,1
0,0,0,0,0,LOW,1
2,0,0,0,2,LOW,1
4,1,0,0,6,MEDIUM,1
0,0,0,0,0,LOW,1
1,1,0,1,5,MEDIUM,1
6,0,0,0,4,MEDIUM,1
4,0,0,0,4,HIGH,1
5,0,0,0,4,LOW,1
1,1,1,1,7,HIGH,1
0,1,0,0,2,LOW,1
0,1,0,0,2,HIGH,1
1,0,1,0,4,LOW,1
0,0,0,1,1,LOW,1
0,1,1,0,4,MEDIUM,1
3,0,0,0,4,MEDIUM,1
0,0,0,1,1,LOW,1
2,0,1,0,4,MEDIUM,1
2,0,1,0,4,MEDIUM,1
0,0,0,1,1,LOW,1
2,0,0,1,3,LOW,1
1,0,0,1,3,LOW,1
0,0,0,0,0,LOW,1
3,0,0,0,4,LOW,1
2,0,0,0,2,LOW,1
2,0,0,1,3,MEDIUM,1
6,0,0,0,4,HIGH,1
1,0,0,0,2,MEDIUM,1
6,0,0,0,4,LOW,1
4,0,1,0,6,HIGH,1
2,0,0,0,2,LOW,1
2,0,0,0,2,LOW,1
0,1,0,0,2,LOW,1
1,0,0,1,3,LOW,1
6,1,1,0,8,HIGH,1
6,0,0,0,4,HIGH,1
5,0,1,0,6,HIGH,1
3,0,0,0,4,LOW,1
3,0,1,0,6,HIGH,1
0,1,1,1,5,HIGH,1
0,0,0,0,0,LOW,1
1,0,0,0,2,LOW,1
1,0,1,1,5,MEDIUM,1
2,0,1,0,4,MEDIUM,1
1,0,0,0,2,LOW,1
5,0,0,0,4,MEDIUM,1
1,1,0,0,4,LOW,1
0,1,0,1,3,LOW,1
0,0,0,0,0,LOW,1
2,0,0,1,3,MEDIUM,1
0,0,0,0,0,LOW,1
5,0,0,0,4,MEDIUM,1
1,0,0,0,2,LOW,1
2,1,0,0,4,LOW,1
2,1,0,0,4,LOW,1
0,0,1,0,2,LOW,1
0,0,0,0,0,LOW,1
0,1,1,0,4,LOW,1
0,0,0,0,0,LOW,1
0,0,0,0,0,LOW,1
1,0,0,1,3,LOW,1
0,0,1,0,2,MEDIUM,1
5,0,0,0,4,MEDIUM,1
2,0,0,1,3,LOW,1
4,0,1,0,6,HIGH,1
1,0,0,0,2,LOW,1
6,0,1,0,6,HIGH,1
0,0,0,0,0,LOW,1
0,1,0,0,2,LOW,1
0,0,1,0,2,LOW,1
1,1,1,0,6,MEDIUM,1
3,1,0,0,6,MEDIUM,1
3,0,1,0,6,MEDIUM,1
2,0,0,0,2,LOW,1
0,0,0,0,0,LOW,1
2,0,0,1,3,MEDIUM,1
0,0,0,0,0,LOW,1
0,0,1,0,2,LOW,1
6,0,0,0,4,MEDIUM,1
1,0,0,1,3,LOW,1
3,0,0,0,4,LOW,1
2,0,0,0,2,MEDIUM,1
3,1,0,1,7,MEDIUM,1
1,0,0,0,2,LOW,1
2,0,0,0,2,MEDIUM,1
0,0,0,0,0,LOW,1
1,0,0,1,3,LOW,1
4,0,0,1,5,MEDIUM,1
6,0,0,0,4,MEDIUM,1
0,1,0,0,2,HIGH,1
1,0,0,0,2,MEDIUM,1
0,0,0,0,0,LOW,1
2,1,0,0,4,LOW,1
0,1,1,1,5,HIGH,1
1,0,0,0,2,LOW,1
1,0,0,0,2,LOW,1
1,0,0,1,3,LOW,1
3,0,0,0,4,MEDIUM,1
1,0,0,1,3,LOW,1
0,1,0,0,2,LOW,1
5,1,0,0,6,HIGH,1
1,0,0,1,3,MEDIUM,1
2,1,0,1,5,HIGH,1
0,0,0,0,0,LOW,1
0,0,0,0,0,LOW,1
0,0,0,1,1,MEDIUM,1
4,0,0,0,4,MEDIUM,1
0,1,1,0,4,HIGH,1
4,0,0,0,4,LOW,1
4,0,0,0,4,MEDIUM,1
2,1,1,0,6,HIGH,1
5,0,0,0,4,LOW,1
5,1,0,0,6,HIGH,1
0,0,1,0,2,MEDIUM,1
0,0,0,0,0,LOW,1
1,0,0,0,2,MEDIUM,1
0,1,1,0,4,MEDIUM,1
0,1,0,0,2,LOW,1
1,0,0,0,2,LOW,1
1,1,0,0,4,LOW,1
4,0,0,0,4,HIGH,1
0,1,0,0,2,LOW,1
6,0,0,0,4,MEDIUM,1
0,0,0,0,0,LOW,1
0,1,1,0,4,MEDIUM,1
0,0,0,0,0,LOW,1
0,0,1,0,2,LOW,1
